Z(6, 25; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 10; Time: 11.9709 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 26; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 10; Time: 12.4327 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 27; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 10; Time: 12.7447 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 28; 2, 2): Max: 43; Mean: 43; Variance: 0; Size: 10; Time: 12.3066 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 29; 2, 2): Max: 44; Mean: 44; Variance: 0; Size: 10; Time: 11.5128 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 30; 2, 2): Max: 45; Mean: 45; Variance: 0; Size: 10; Time: 12.3307 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 31; 2, 2): Max: 46; Mean: 46; Variance: 0; Size: 10; Time: 12.119 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 32; 2, 2): Max: 47; Mean: 47; Variance: 0; Size: 10; Time: 12.1515 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 33; 2, 2): Max: 48; Mean: 48; Variance: 0; Size: 10; Time: 11.7646 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 34; 2, 2): Max: 49; Mean: 49; Variance: 0; Size: 10; Time: 12.109 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 35; 2, 2): Max: 50; Mean: 50; Variance: 0; Size: 10; Time: 12.4058 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 36; 2, 2): Max: 51; Mean: 51; Variance: 0; Size: 10; Time: 12.4021 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 37; 2, 2): Max: 52; Mean: 52; Variance: 0; Size: 10; Time: 12.8645 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 38; 2, 2): Max: 53; Mean: 53; Variance: 0; Size: 10; Time: 13.2467 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 39; 2, 2): Max: 54; Mean: 54; Variance: 0; Size: 10; Time: 13.1704 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(6, 40; 2, 2): Max: 55; Mean: 55; Variance: 0; Size: 10; Time: 13.2595 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(7, 7; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 10; Time: 10.1558 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
Z(7, 8; 2, 2): Max: 22; Mean: 21.8; Variance: 0.16; Size: 10; Time: 9.9883 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 8 ; iter: 3;
Z(7, 9; 2, 2): Max: 24; Mean: 23.2; Variance: 0.16; Size: 10; Time: 10.5525 ms; Top5_Histogram_(relative_to_max): 0 0 0 8 2 ; iter: 3;
Z(7, 10; 2, 2): Max: 25; Mean: 24.5; Variance: 0.45; Size: 10; Time: 10.0397 ms; Top5_Histogram_(relative_to_max): 0 0 1 3 6 ; iter: 3;
Z(7, 11; 2, 2): Max: 27; Mean: 26.9; Variance: 0.09; Size: 10; Time: 10.8479 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 9 ; iter: 3;
Z(7, 12; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 10; Time: 10.4267 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 10 ; iter: 3;
