Z(5, 21; 2, 2): Max: 31; Mean: 30.495; Variance: 0.358935; Size: 50000; Time: 1616.95 ms; Top5_Histogram_(relative_to_max): 0 219 2067 20457 27257 ;
Z(5, 22; 2, 2): Max: 32; Mean: 31.5252; Variance: 0.340163; Size: 50000; Time: 1651.16 ms; Top5_Histogram_(relative_to_max): 0 189 1703 19765 28343 ;
Z(5, 23; 2, 2): Max: 33; Mean: 32.5658; Variance: 0.321156; Size: 50000; Time: 1763.7 ms; Top5_Histogram_(relative_to_max): 0 130 1497 18328 30045 ;
Z(5, 24; 2, 2): Max: 34; Mean: 33.5885; Variance: 0.309404; Size: 50000; Time: 1756.84 ms; Top5_Histogram_(relative_to_max): 0 122 1315 17578 30985 ;
Z(5, 25; 2, 2): Max: 35; Mean: 34.6046; Variance: 0.303547; Size: 50000; Time: 1811.49 ms; Top5_Histogram_(relative_to_max): 0 121 1234 16935 31709 ;
Z(5, 26; 2, 2): Max: 36; Mean: 35.6264; Variance: 0.291593; Size: 50000; Time: 2064.93 ms; Top5_Histogram_(relative_to_max): 0 119 1082 16161 32638 ;
Z(5, 27; 2, 2): Max: 37; Mean: 36.6336; Variance: 0.285586; Size: 50000; Time: 2048.9 ms; Top5_Histogram_(relative_to_max): 0 108 1012 15971 32909 ;
Z(5, 28; 2, 2): Max: 38; Mean: 37.6678; Variance: 0.265483; Size: 50000; Time: 2226.92 ms; Top5_Histogram_(relative_to_max): 0 82 845 14674 34399 ;
Z(5, 29; 2, 2): Max: 39; Mean: 38.6817; Variance: 0.257058; Size: 50000; Time: 2172.78 ms; Top5_Histogram_(relative_to_max): 0 77 771 14141 35011 ;
Z(5, 30; 2, 2): Max: 40; Mean: 39.693; Variance: 0.250239; Size: 50000; Time: 2261.57 ms; Top5_Histogram_(relative_to_max): 0 65 742 13672 35521 ;
Z(6, 6; 2, 2): Max: 16; Mean: 14.9089; Variance: 0.533768; Size: 50000; Time: 933.16 ms; Top5_Histogram_(relative_to_max): 45 1356 11330 27565 9688 ;
Z(6, 7; 2, 2): Max: 18; Mean: 16.5796; Variance: 0.530187; Size: 50000; Time: 1143.75 ms; Top5_Histogram_(relative_to_max): 267 3246 16739 26692 3048 ;
Z(6, 8; 2, 2): Max: 19; Mean: 18.2276; Variance: 0.48414; Size: 50000; Time: 965.386 ms; Top5_Histogram_(relative_to_max): 36 656 5524 25458 18326 ;
Z(6, 9; 2, 2): Max: 21; Mean: 19.9229; Variance: 0.390076; Size: 50000; Time: 1250.08 ms; Top5_Histogram_(relative_to_max): 35 822 9142 32960 7040 ;
Z(6, 10; 2, 2): Max: 22; Mean: 21.3914; Variance: 0.404455; Size: 50000; Time: 1197.39 ms; Top5_Histogram_(relative_to_max): 7 234 3402 22889 23467 ;
Z(6, 11; 2, 2): Max: 24; Mean: 22.799; Variance: 0.452147; Size: 50000; Time: 1547.27 ms; Top5_Histogram_(relative_to_max): 62 1307 13025 29820 5784 ;
Z(6, 12; 2, 2): Max: 25; Mean: 24.1362; Variance: 0.495755; Size: 50000; Time: 1486.11 ms; Top5_Histogram_(relative_to_max): 36 555 7562 26253 15593 ;
Z(6, 13; 2, 2): Max: 27; Mean: 25.6325; Variance: 0.460553; Size: 50000; Time: 1698.22 ms; Top5_Histogram_(relative_to_max): 79 2241 16869 27591 3219 ;
Z(6, 14; 2, 2): Max: 28; Mean: 26.8756; Variance: 0.498675; Size: 50000; Time: 1722.16 ms; Top5_Histogram_(relative_to_max): 30 1386 11597 28735 8249 ;
Z(6, 15; 2, 2): Max: 30; Mean: 28.0802; Variance: 0.534191; Size: 50000; Time: 1861.75 ms; Top5_Histogram_(relative_to_max): 937 8221 27097 13326 407 ;
Z(6, 16; 2, 2): Max: 31; Mean: 29.2384; Variance: 0.558626; Size: 50000; Time: 1858.49 ms; Top5_Histogram_(relative_to_max): 675 6139 24937 17043 1198 ;
Z(6, 17; 2, 2): Max: 32; Mean: 30.372; Variance: 0.576811; Size: 50000; Time: 1984.75 ms; Top5_Histogram_(relative_to_max): 525 4724 22634 19850 2265 ;
Z(6, 18; 2, 2): Max: 33; Mean: 31.6625; Variance: 0.581274; Size: 50000; Time: 2251.24 ms; Top5_Histogram_(relative_to_max): 227 2454 17078 24443 5797 ;
Z(6, 19; 2, 2): Max: 34; Mean: 32.7432; Variance: 0.570844; Size: 50000; Time: 2214.49 ms; Top5_Histogram_(relative_to_max): 163 1967 15445 25390 7034 ;
Z(6, 20; 2, 2): Max: 35; Mean: 33.8054; Variance: 0.592906; Size: 50000; Time: 2280.87 ms; Top5_Histogram_(relative_to_max): 193 1812 13994 25514 8484 ;
Z(6, 21; 2, 2): Max: 36; Mean: 34.8502; Variance: 0.592586; Size: 50000; Time: 2279.14 ms; Top5_Histogram_(relative_to_max): 161 1659 13162 25538 9479 ;
Z(6, 22; 2, 2): Max: 37; Mean: 35.9049; Variance: 0.5912; Size: 50000; Time: 2476.24 ms; Top5_Histogram_(relative_to_max): 153 1470 12025 25670 10680 ;
Z(6, 23; 2, 2): Max: 38; Mean: 36.9422; Variance: 0.586761; Size: 50000; Time: 2617.76 ms; Top5_Histogram_(relative_to_max): 122 1308 11511 25443 11614 ;
Z(6, 24; 2, 2): Max: 39; Mean: 38.1029; Variance: 0.546767; Size: 50000; Time: 2743.42 ms; Top5_Histogram_(relative_to_max): 61 822 8514 25110 15492 ;
Z(6, 25; 2, 2): Max: 40; Mean: 39.1222; Variance: 0.539812; Size: 50000; Time: 2876.61 ms; Top5_Histogram_(relative_to_max): 64 752 8174 25031 15979 ;
Z(6, 26; 2, 2): Max: 41; Mean: 40.14; Variance: 0.546226; Size: 50000; Time: 2887.32 ms; Top5_Histogram_(relative_to_max): 69 784 7865 24637 16644 ;
Z(6, 27; 2, 2): Max: 42; Mean: 41.1554; Variance: 0.536251; Size: 50000; Time: 3021.98 ms; Top5_Histogram_(relative_to_max): 52 692 7737 24472 17047 ;
Z(6, 28; 2, 2): Max: 43; Mean: 42.1684; Variance: 0.533775; Size: 50000; Time: 3044.1 ms; Top5_Histogram_(relative_to_max): 69 663 7441 24435 17392 ;
Z(6, 29; 2, 2): Max: 44; Mean: 43.1908; Variance: 0.526171; Size: 50000; Time: 3172.91 ms; Top5_Histogram_(relative_to_max): 46 665 7024 24235 18030 ;
Z(6, 30; 2, 2): Max: 45; Mean: 44.3054; Variance: 0.482795; Size: 50000; Time: 3414.47 ms; Top5_Histogram_(relative_to_max): 28 397 5408 22613 21554 ;
Z(7, 7; 2, 2): Max: 21; Mean: 18.5472; Variance: 0.605176; Size: 50000; Time: 1274.22 ms; Top5_Histogram_(relative_to_max): 3667 16757 27841 0 1335 ;
Z(7, 8; 2, 2): Max: 22; Mean: 20.3368; Variance: 0.674899; Size: 50000; Time: 1202.09 ms; Top5_Histogram_(relative_to_max): 814 5076 23409 17398 3212 ;
Z(7, 9; 2, 2): Max: 24; Mean: 22.0472; Variance: 0.692128; Size: 50000; Time: 1449.16 ms; Top5_Histogram_(relative_to_max): 1429 9438 24508 13403 987 ;
