Z(5, 27; 2, 2): Max: 37; Mean: 35.475; Variance: 0.316042; Size: 240; Time: 36.4082 ms; Top5_Histogram_(relative_to_max): 0 0 134 98 8 ; iter: 0x7bf120;
Z(5, 28; 2, 2): Max: 38; Mean: 36.1167; Variance: 0.186389; Size: 240; Time: 66.1348 ms; Top5_Histogram_(relative_to_max): 0 8 198 32 2 ; iter: 0x7bf120;
Z(5, 29; 2, 2): Max: 38; Mean: 36.9083; Variance: 0.0999306; Size: 240; Time: 84.8302 ms; Top5_Histogram_(relative_to_max): 0 0 24 214 2 ; iter: 0x7bf120;
Z(5, 30; 2, 2): Max: 38; Mean: 37.825; Variance: 0.144375; Size: 240; Time: 116.683 ms; Top5_Histogram_(relative_to_max): 0 0 0 42 198 ; iter: 0x7bf120;
Z(5, 31; 2, 2): Max: 40; Mean: 39.0417; Variance: 0.0399306; Size: 240; Time: 45.9664 ms; Top5_Histogram_(relative_to_max): 0 0 0 230 10 ; iter: 0x7bf120;
Z(5, 32; 2, 2): Max: 41; Mean: 39.9917; Variance: 0.108264; Size: 240; Time: 77.7507 ms; Top5_Histogram_(relative_to_max): 0 0 14 214 12 ; iter: 0x7bf120;
Z(5, 33; 2, 2): Max: 42; Mean: 40.8917; Variance: 0.129931; Size: 240; Time: 97.9814 ms; Top5_Histogram_(relative_to_max): 0 0 30 206 4 ; iter: 0x7bf120;
Z(5, 34; 2, 2): Max: 42; Mean: 41.7667; Variance: 0.178889; Size: 240; Time: 144.196 ms; Top5_Histogram_(relative_to_max): 0 0 0 56 184 ; iter: 0x7bf120;
Z(5, 35; 2, 2): Max: 44; Mean: 43.2417; Variance: 0.199931; Size: 240; Time: 45.1964 ms; Top5_Histogram_(relative_to_max): 0 0 2 178 60 ; iter: 0x7bf120;
Z(5, 36; 2, 2): Max: 45; Mean: 43.95; Variance: 0.1475; Size: 240; Time: 70.3161 ms; Top5_Histogram_(relative_to_max): 0 0 24 204 12 ; iter: 0x7bf120;
Z(5, 37; 2, 2): Max: 46; Mean: 44.8667; Variance: 0.165556; Size: 240; Time: 91.9634 ms; Top5_Histogram_(relative_to_max): 0 0 38 196 6 ; iter: 0x7bf120;
