Z(5, 18; 2, 2): Max: 28; Mean: 27.9917; Variance: 0.00826389; Size: 120; Time: 67.0515 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 119 ; iter: 0x7cf080;
Z(5, 19; 2, 2): Max: 29; Mean: 28.3917; Variance: 0.504931; Size: 120; Time: 54.6389 ms; Top5_Histogram_(relative_to_max): 0 2 10 47 61 ; iter: 0x7cf080;
Z(5, 20; 2, 2): Max: 30; Mean: 29.825; Variance: 0.144375; Size: 120; Time: 57.6099 ms; Top5_Histogram_(relative_to_max): 0 0 0 21 99 ; iter: 0x7cf080;
Z(5, 21; 2, 2): Max: 31; Mean: 27.7583; Variance: 5.94993; Size: 120; Time: 53.5389 ms; Top5_Histogram_(relative_to_max): 0 24 1 27 20 ; iter: 0x7cf080;
Z(5, 22; 2, 2): Max: 32; Mean: 28.7833; Variance: 6.06972; Size: 120; Time: 59.1754 ms; Top5_Histogram_(relative_to_max): 0 24 0 26 22 ; iter: 0x7cf080;
Z(5, 23; 2, 2): Max: 33; Mean: 29.6417; Variance: 5.76326; Size: 120; Time: 51.4873 ms; Top5_Histogram_(relative_to_max): 0 23 2 30 15 ; iter: 0x7cf080;
Z(5, 24; 2, 2): Max: 34; Mean: 30.6583; Variance: 5.47493; Size: 120; Time: 57.5788 ms; Top5_Histogram_(relative_to_max): 0 24 6 29 13 ; iter: 0x7cf080;
Z(5, 25; 2, 2): Max: 35; Mean: 31.7917; Variance: 6.11493; Size: 120; Time: 66.0546 ms; Top5_Histogram_(relative_to_max): 0 24 0 25 23 ; iter: 0x7cf080;
Z(5, 26; 2, 2): Max: 36; Mean: 32.8; Variance: 6.16; Size: 120; Time: 89.6978 ms; Top5_Histogram_(relative_to_max): 0 24 0 24 24 ; iter: 0x7cf080;
Z(5, 27; 2, 2): Max: 36; Mean: 33.4917; Variance: 4.78326; Size: 120; Time: 74.657 ms; Top5_Histogram_(relative_to_max): 0 0 24 8 39 ; iter: 0x7cf080;
Z(5, 28; 2, 2): Max: 38; Mean: 34.7583; Variance: 5.94993; Size: 120; Time: 76.5153 ms; Top5_Histogram_(relative_to_max): 0 24 1 27 20 ; iter: 0x7cf080;
Z(5, 29; 2, 2): Max: 39; Mean: 35.7917; Variance: 6.11493; Size: 120; Time: 83.0352 ms; Top5_Histogram_(relative_to_max): 0 24 0 25 23 ; iter: 0x7cf080;
Z(5, 30; 2, 2): Max: 40; Mean: 36.8; Variance: 6.16; Size: 120; Time: 102.995 ms; Top5_Histogram_(relative_to_max): 0 24 0 24 24 ; iter: 0x7cf080;
Z(5, 31; 2, 2): Max: 41; Mean: 37.7083; Variance: 6.1066; Size: 120; Time: 83.0877 ms; Top5_Histogram_(relative_to_max): 0 22 3 23 22 ; iter: 0x7cf080;
Z(5, 32; 2, 2): Max: 42; Mean: 38.8; Variance: 6.16; Size: 120; Time: 76.6037 ms; Top5_Histogram_(relative_to_max): 0 24 0 24 24 ; iter: 0x7cf080;
