Z(4, 22; 2, 2): Max: 28; Mean: 27.9575; Variance: 0.0406506; Size: 5300; Time: 107.984 ms; Top5_Histogram_(relative_to_max): 0 0 0 225 5075 ;
Z(4, 23; 2, 2): Max: 29; Mean: 28.9625; Variance: 0.0361374; Size: 5300; Time: 109.833 ms; Top5_Histogram_(relative_to_max): 0 0 0 199 5101 ;
Z(4, 24; 2, 2): Max: 30; Mean: 29.9692; Variance: 0.0298089; Size: 5300; Time: 117.516 ms; Top5_Histogram_(relative_to_max): 0 0 0 163 5137 ;
Z(4, 25; 2, 2): Max: 31; Mean: 30.9734; Variance: 0.025896; Size: 5300; Time: 120.004 ms; Top5_Histogram_(relative_to_max): 0 0 0 141 5159 ;
Z(4, 26; 2, 2): Max: 32; Mean: 31.9762; Variance: 0.0232084; Size: 5300; Time: 124.71 ms; Top5_Histogram_(relative_to_max): 0 0 0 126 5174 ;
Z(4, 27; 2, 2): Max: 33; Mean: 32.9723; Variance: 0.0269666; Size: 5300; Time: 128.815 ms; Top5_Histogram_(relative_to_max): 0 0 0 147 5153 ;
Z(4, 28; 2, 2): Max: 34; Mean: 33.9821; Variance: 0.0176032; Size: 5300; Time: 139.153 ms; Top5_Histogram_(relative_to_max): 0 0 0 95 5205 ;
Z(4, 29; 2, 2): Max: 35; Mean: 34.9815; Variance: 0.0181487; Size: 5300; Time: 148.68 ms; Top5_Histogram_(relative_to_max): 0 0 0 98 5202 ;
Z(4, 30; 2, 2): Max: 36; Mean: 35.9825; Variance: 0.0172393; Size: 5300; Time: 149.976 ms; Top5_Histogram_(relative_to_max): 0 0 0 93 5207 ;
Z(4, 31; 2, 2): Max: 37; Mean: 36.9853; Variance: 0.0145004; Size: 5300; Time: 154.23 ms; Top5_Histogram_(relative_to_max): 0 0 0 78 5222 ;
Z(4, 32; 2, 2): Max: 38; Mean: 37.99; Variance: 0.0099; Size: 5300; Time: 165.021 ms; Top5_Histogram_(relative_to_max): 0 0 0 53 5247 ;
Z(4, 33; 2, 2): Max: 39; Mean: 38.9864; Variance: 0.0134004; Size: 5300; Time: 167.771 ms; Top5_Histogram_(relative_to_max): 0 0 0 72 5228 ;
Z(4, 34; 2, 2): Max: 40; Mean: 39.9894; Variance: 0.0104544; Size: 5300; Time: 173.519 ms; Top5_Histogram_(relative_to_max): 0 0 0 56 5244 ;
Z(4, 35; 2, 2): Max: 41; Mean: 40.9877; Variance: 0.0121137; Size: 5300; Time: 177.784 ms; Top5_Histogram_(relative_to_max): 0 0 0 65 5235 ;
Z(4, 36; 2, 2): Max: 42; Mean: 41.9923; Variance: 0.00767601; Size: 5300; Time: 189.819 ms; Top5_Histogram_(relative_to_max): 0 0 0 41 5259 ;
Z(4, 37; 2, 2): Max: 43; Mean: 42.9894; Variance: 0.0104544; Size: 5300; Time: 198.613 ms; Top5_Histogram_(relative_to_max): 0 0 0 56 5244 ;
Z(4, 38; 2, 2): Max: 44; Mean: 43.9908; Variance: 0.00915981; Size: 5300; Time: 198.171 ms; Top5_Histogram_(relative_to_max): 0 0 0 49 5251 ;
Z(4, 39; 2, 2): Max: 45; Mean: 44.993; Variance: 0.0069324; Size: 5300; Time: 203.993 ms; Top5_Histogram_(relative_to_max): 0 0 0 37 5263 ;
Z(4, 40; 2, 2): Max: 46; Mean: 45.994; Variance: 0.00600128; Size: 5300; Time: 215.357 ms; Top5_Histogram_(relative_to_max): 0 0 0 32 5268 ;
Z(5, 5; 2, 2): Max: 12; Mean: 11.6385; Variance: 0.253839; Size: 5300; Time: 44.1364 ms; Top5_Histogram_(relative_to_max): 0 7 40 1815 3438 ;
Z(5, 6; 2, 2): Max: 14; Mean: 13.2238; Variance: 0.35068; Size: 5300; Time: 56.3592 ms; Top5_Histogram_(relative_to_max): 1 12 427 3220 1640 ;
Z(5, 7; 2, 2): Max: 15; Mean: 14.7325; Variance: 0.232569; Size: 5300; Time: 61.9179 ms; Top5_Histogram_(relative_to_max): 0 3 88 1233 3976 ;
Z(5, 8; 2, 2): Max: 17; Mean: 16.2019; Variance: 0.329808; Size: 5300; Time: 68.2402 ms; Top5_Histogram_(relative_to_max): 0 14 405 3378 1503 ;
Z(5, 9; 2, 2): Max: 18; Mean: 17.5181; Variance: 0.342502; Size: 5300; Time: 84.122 ms; Top5_Histogram_(relative_to_max): 0 11 213 2095 2981 ;
Z(5, 10; 2, 2): Max: 20; Mean: 18.8379; Variance: 0.34675; Size: 5300; Time: 90.0737 ms; Top5_Histogram_(relative_to_max): 1 83 1163 3580 473 ;
Z(5, 11; 2, 2): Max: 21; Mean: 20.1042; Variance: 0.357454; Size: 5300; Time: 97.3823 ms; Top5_Histogram_(relative_to_max): 0 15 655 3393 1237 ;
Z(5, 12; 2, 2): Max: 22; Mean: 21.3253; Variance: 0.350795; Size: 5300; Time: 102.797 ms; Top5_Histogram_(relative_to_max): 1 5 327 2903 2064 ;
Z(5, 13; 2, 2): Max: 23; Mean: 22.4298; Variance: 0.336772; Size: 5300; Time: 123.64 ms; Top5_Histogram_(relative_to_max): 0 5 228 2551 2516 ;
Z(5, 14; 2, 2): Max: 24; Mean: 23.5808; Variance: 0.286875; Size: 5300; Time: 130.544 ms; Top5_Histogram_(relative_to_max): 0 1 112 1995 3192 ;
Z(5, 15; 2, 2): Max: 25; Mean: 24.656; Variance: 0.256973; Size: 5300; Time: 138.143 ms; Top5_Histogram_(relative_to_max): 0 0 83 1657 3560 ;
Z(5, 16; 2, 2): Max: 26; Mean: 25.7145; Variance: 0.222468; Size: 5300; Time: 144.545 ms; Top5_Histogram_(relative_to_max): 0 0 49 1415 3836 ;
Z(5, 17; 2, 2): Max: 27; Mean: 26.7674; Variance: 0.194368; Size: 5300; Time: 150.203 ms; Top5_Histogram_(relative_to_max): 0 0 42 1149 4109 ;
Z(5, 18; 2, 2): Max: 28; Mean: 27.833; Variance: 0.145136; Size: 5300; Time: 177.711 ms; Top5_Histogram_(relative_to_max): 0 1 13 856 4430 ;
Z(5, 19; 2, 2): Max: 29; Mean: 28.8581; Variance: 0.125529; Size: 5300; Time: 185.458 ms; Top5_Histogram_(relative_to_max): 0 0 10 732 4558 ;
Z(5, 20; 2, 2): Max: 30; Mean: 29.8725; Variance: 0.11543; Size: 5300; Time: 193.275 ms; Top5_Histogram_(relative_to_max): 0 0 11 654 4635 ;
Z(5, 21; 2, 2): Max: 31; Mean: 30.6904; Variance: 0.23753; Size: 5300; Time: 122.471 ms; Top5_Histogram_(relative_to_max): 0 4 51 1527 3718 ;
Z(5, 22; 2, 2): Max: 32; Mean: 31.714; Variance: 0.224975; Size: 5300; Time: 126.514 ms; Top5_Histogram_(relative_to_max): 0 3 46 1415 3836 ;
Z(5, 23; 2, 2): Max: 33; Mean: 32.733; Variance: 0.213061; Size: 5300; Time: 134.72 ms; Top5_Histogram_(relative_to_max): 0 1 43 1326 3930 ;
Z(5, 24; 2, 2): Max: 34; Mean: 33.7608; Variance: 0.20012; Size: 5300; Time: 140.031 ms; Top5_Histogram_(relative_to_max): 0 2 42 1178 4078 ;
Z(5, 25; 2, 2): Max: 35; Mean: 34.7787; Variance: 0.184036; Size: 5300; Time: 145.699 ms; Top5_Histogram_(relative_to_max): 0 1 28 1114 4157 ;
Z(5, 26; 2, 2): Max: 36; Mean: 35.8058; Variance: 0.170041; Size: 5300; Time: 151.565 ms; Top5_Histogram_(relative_to_max): 0 0 36 957 4307 ;
Z(5, 27; 2, 2): Max: 37; Mean: 36.8155; Variance: 0.156515; Size: 5300; Time: 162.451 ms; Top5_Histogram_(relative_to_max): 0 0 16 946 4338 ;
Z(5, 28; 2, 2): Max: 38; Mean: 37.8298; Variance: 0.151036; Size: 5300; Time: 168.041 ms; Top5_Histogram_(relative_to_max): 0 2 20 856 4422 ;
Z(5, 29; 2, 2): Max: 39; Mean: 38.847; Variance: 0.13451; Size: 5300; Time: 175.234 ms; Top5_Histogram_(relative_to_max): 0 0 13 785 4502 ;
Z(5, 30; 2, 2): Max: 40; Mean: 39.8585; Variance: 0.1279; Size: 5300; Time: 180.687 ms; Top5_Histogram_(relative_to_max): 0 1 14 719 4566 ;
Z(5, 31; 2, 2): Max: 41; Mean: 40.8787; Variance: 0.11264; Size: 5300; Time: 190.151 ms; Top5_Histogram_(relative_to_max): 0 1 13 614 4672 ;
