Z(5, 21; 4, 4): Max: 78; Mean: 78; Variance: 0; Size: 8; Time: 4.6238 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 22; 4, 4): Max: 81; Mean: 81; Variance: 0; Size: 8; Time: 5.6293 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 23; 4, 4): Max: 84; Mean: 84; Variance: 0; Size: 8; Time: 8.201 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 24; 4, 4): Max: 87; Mean: 87; Variance: 0; Size: 8; Time: 12.4145 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 25; 4, 4): Max: 90; Mean: 90; Variance: 0; Size: 8; Time: 4.9021 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 26; 4, 4): Max: 93; Mean: 93; Variance: 0; Size: 8; Time: 7.3534 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 27; 4, 4): Max: 96; Mean: 96; Variance: 0; Size: 8; Time: 9.7982 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 28; 4, 4): Max: 99; Mean: 99; Variance: 0; Size: 8; Time: 20.8885 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 29; 4, 4): Max: 102; Mean: 102; Variance: 0; Size: 8; Time: 6.0581 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(5, 30; 4, 4): Max: 105; Mean: 105; Variance: 0; Size: 8; Time: 8.5442 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(6, 6; 4, 4): Max: 31; Mean: 31; Variance: 0; Size: 8; Time: 3.6119 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(6, 7; 4, 4): Max: 36; Mean: 36; Variance: 0; Size: 8; Time: 4.2125 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(6, 8; 4, 4): Max: 39; Mean: 39; Variance: 0; Size: 8; Time: 3.5081 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(6, 9; 4, 4): Max: 43; Mean: 43; Variance: 0; Size: 8; Time: 4.5844 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(6, 10; 4, 4): Max: 47; Mean: 47; Variance: 0; Size: 8; Time: 4.8629 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(6, 11; 4, 4): Max: 51; Mean: 51; Variance: 0; Size: 8; Time: 7.6862 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 8 ; iter: [1,3,6,12];
Z(6, 12; 4, 4): Max: 55; Mean: 54.875; Variance: 0.109375; Size: 8; Time: 3.8956 ms; Top5_Histogram_(relative_to_max): 0 0 0 1 7 ; iter: [1,3,6,12];
Z(6, 13; 4, 4): Max: 59; Mean: 58.75; Variance: 0.1875; Size: 8; Time: 5.0222 ms; Top5_Histogram_(relative_to_max): 0 0 0 2 6 ; iter: [1,3,6,12];
Z(6, 14; 4, 4): Max: 63; Mean: 62.625; Variance: 0.234375; Size: 8; Time: 7.7017 ms; Top5_Histogram_(relative_to_max): 0 0 0 3 5 ; iter: [1,3,6,12];
Z(6, 15; 4, 4): Max: 67; Mean: 66.375; Variance: 0.234375; Size: 8; Time: 5.32 ms; Top5_Histogram_(relative_to_max): 0 0 0 5 3 ; iter: [1,3,6,12];
Z(6, 16; 4, 4): Max: 71; Mean: 70.375; Variance: 0.234375; Size: 8; Time: 3.9772 ms; Top5_Histogram_(relative_to_max): 0 0 0 5 3 ; iter: [1,3,6,12];
