Z(5, 8; 2, 2): Max: 17; Mean: 16.335; Variance: 0.222775; Size: 400; Time: 10.491 ms; Top5_Histogram_(relative_to_max): 0 0 0 266 134 ; iter: 1, 3, 6, 12;
Z(5, 9; 2, 2): Max: 18; Mean: 18; Variance: 0; Size: 400; Time: 11.4217 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 10; 2, 2): Max: 20; Mean: 19.21; Variance: 0.1759; Size: 400; Time: 16.145 ms; Top5_Histogram_(relative_to_max): 0 0 2 312 86 ; iter: 1, 3, 6, 12;
Z(5, 11; 2, 2): Max: 21; Mean: 21; Variance: 0; Size: 400; Time: 11.1605 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 12; 2, 2): Max: 22; Mean: 22; Variance: 0; Size: 400; Time: 12.5891 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 13; 2, 2): Max: 23; Mean: 23; Variance: 0; Size: 400; Time: 14.5326 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 14; 2, 2): Max: 24; Mean: 24; Variance: 0; Size: 400; Time: 17.8545 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 15; 2, 2): Max: 25; Mean: 25; Variance: 0; Size: 400; Time: 13.5121 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 16; 2, 2): Max: 26; Mean: 26; Variance: 0; Size: 400; Time: 15.3696 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 17; 2, 2): Max: 27; Mean: 27; Variance: 0; Size: 400; Time: 17.5754 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 18; 2, 2): Max: 28; Mean: 28; Variance: 0; Size: 400; Time: 22.3863 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 19; 2, 2): Max: 29; Mean: 29; Variance: 0; Size: 400; Time: 16.5057 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 20; 2, 2): Max: 30; Mean: 30; Variance: 0; Size: 400; Time: 18.4765 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 21; 2, 2): Max: 31; Mean: 31; Variance: 0; Size: 400; Time: 21.0119 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 22; 2, 2): Max: 32; Mean: 32; Variance: 0; Size: 400; Time: 25.9917 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 23; 2, 2): Max: 33; Mean: 33; Variance: 0; Size: 400; Time: 18.7065 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 24; 2, 2): Max: 34; Mean: 34; Variance: 0; Size: 400; Time: 21.285 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 25; 2, 2): Max: 35; Mean: 35; Variance: 0; Size: 400; Time: 24.4084 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 26; 2, 2): Max: 36; Mean: 36; Variance: 0; Size: 400; Time: 30.2559 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 27; 2, 2): Max: 37; Mean: 37; Variance: 0; Size: 400; Time: 21.388 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 28; 2, 2): Max: 38; Mean: 38; Variance: 0; Size: 400; Time: 24.5475 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 29; 2, 2): Max: 39; Mean: 39; Variance: 0; Size: 400; Time: 27.7576 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 30; 2, 2): Max: 40; Mean: 40; Variance: 0; Size: 400; Time: 34.9139 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 31; 2, 2): Max: 41; Mean: 41; Variance: 0; Size: 400; Time: 24.9893 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
Z(5, 32; 2, 2): Max: 42; Mean: 42; Variance: 0; Size: 400; Time: 27.982 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 400 ; iter: 1, 3, 6, 12;
