Z(5, 23; 6, 6): Max: 115; Mean: 115; Variance: 0; Size: 4; Time: 28.9399 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(5, 24; 6, 6): Max: 120; Mean: 120; Variance: 0; Size: 4; Time: 34.4951 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(5, 25; 6, 6): Max: 125; Mean: 125; Variance: 0; Size: 4; Time: 46.0258 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(5, 26; 6, 6): Max: 130; Mean: 130; Variance: 0; Size: 4; Time: 54.0608 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(5, 27; 6, 6): Max: 135; Mean: 135; Variance: 0; Size: 4; Time: 62.1612 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(5, 28; 6, 6): Max: 140; Mean: 140; Variance: 0; Size: 4; Time: 73.7081 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(5, 29; 6, 6): Max: 145; Mean: 145; Variance: 0; Size: 4; Time: 85.7987 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(5, 30; 6, 6): Max: 150; Mean: 150; Variance: 0; Size: 4; Time: 102.058 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 6; 6, 6): Max: 35; Mean: 35; Variance: 0; Size: 4; Time: 6.2902 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 7; 6, 6): Max: 40; Mean: 40; Variance: 0; Size: 4; Time: 6.5182 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 8; 6, 6): Max: 45; Mean: 45; Variance: 0; Size: 4; Time: 6.8296 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 9; 6, 6): Max: 50; Mean: 50; Variance: 0; Size: 4; Time: 6.7916 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 10; 6, 6): Max: 55; Mean: 55; Variance: 0; Size: 4; Time: 6.9369 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 11; 6, 6): Max: 60; Mean: 60; Variance: 0; Size: 4; Time: 7.8065 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 12; 6, 6): Max: 65; Mean: 65; Variance: 0; Size: 4; Time: 6.8318 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 13; 6, 6): Max: 70; Mean: 70; Variance: 0; Size: 4; Time: 6.5002 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 14; 6, 6): Max: 75; Mean: 75; Variance: 0; Size: 4; Time: 6.9067 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 15; 6, 6): Max: 80; Mean: 80; Variance: 0; Size: 4; Time: 7.5169 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 16; 6, 6): Max: 85; Mean: 85; Variance: 0; Size: 4; Time: 6.7217 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
Z(6, 17; 6, 6): Max: 90; Mean: 90; Variance: 0; Size: 4; Time: 8.145 ms; Top5_Histogram_(relative_to_max): 0 0 0 0 4 ; iter: [1,3];
